Field,StrategyOrDate,MOMENTUM_WINDOW,VOLATILITY_WINDOW,Value
AggReturn,2019-05-07 00:00:00,200,40,-0.0060695679566086
AggReturn,2019-05-07 00:00:00,200,80,0.0014368828995959
AggReturn,2019-05-08 00:00:00,100,40,0.0135258943585617
AggReturn,2019-05-08 00:00:00,100,80,-0.0364541237162649
AggReturn,2019-05-08 00:00:00,200,40,0.0018805519649729
AggReturn,2019-05-08 00:00:00,200,80,-0.0088562359995377
AggReturn,2019-05-09 00:00:00,100,40,-0.0359409149875948
AggReturn,2019-05-09 00:00:00,100,80,0.0325751402673712
AggReturn,2019-05-09 00:00:00,200,40,0.0240914282432699
AggReturn,2019-05-09 00:00:00,200,80,0.0288925794729926
AggReturn,2019-05-10 00:00:00,100,40,0.0175169935001898
AggReturn,2019-05-10 00:00:00,100,80,0.0073151539866622
AggReturn,2019-05-10 00:00:00,200,40,0.0042510326575047
AggReturn,2019-05-10 00:00:00,200,80,0.0090808656746588
AggReturn,2019-05-13 00:00:00,100,40,0.0183503150765357
AggReturn,2019-05-13 00:00:00,100,80,0.0420656681929779
AggReturn,2019-05-13 00:00:00,200,40,0.024935816783044
AggReturn,2019-05-13 00:00:00,200,80,0.0347189517268661
AggReturn,2019-05-14 00:00:00,100,40,0.0448517398792011
AggReturn,2019-05-14 00:00:00,100,80,0.031978963014238
AggReturn,2019-05-14 00:00:00,200,40,0.0174749926163625
AggReturn,2019-05-14 00:00:00,200,80,0.0168939946669435
AggReturn,2019-05-15 00:00:00,100,40,-0.0043078580998741
AggReturn,2019-05-15 00:00:00,100,80,-0.0294766759525178
AggReturn,2019-05-15 00:00:00,200,40,-0.0186027565219163
AggReturn,2019-05-15 00:00:00,200,80,-0.0169378842176221
AggReturn,2019-05-16 00:00:00,100,40,-0.0055689929312397
AggReturn,2019-05-16 00:00:00,100,80,0.0118820285300343
AggReturn,2019-05-16 00:00:00,200,40,-0.0166265516426636
AggReturn,2019-05-16 00:00:00,200,80,-0.0208215629805321
AggReturn,2019-05-17 00:00:00,100,40,0.0289138972657716
AggReturn,2019-05-17 00:00:00,100,80,0.0337944881283864
AggReturn,2019-05-17 00:00:00,200,40,0.0251830146650259
AggReturn,2019-05-17 00:00:00,200,80,0.024990510766822
AggReturn,2019-05-20 00:00:00,100,40,0.0544057916281762
AggReturn,2019-05-20 00:00:00,100,80,0.0441138212760678
AggReturn,2019-05-20 00:00:00,200,40,0.0313700392320277
AggReturn,2019-05-20 00:00:00,200,80,0.0253908054332451
AggReturn,2019-05-21 00:00:00,100,40,0.000370860504685
AggReturn,2019-05-21 00:00:00,100,80,0.0173305230288896
AggReturn,2019-05-21 00:00:00,200,40,-0.0041285406606616
AggReturn,2019-05-21 00:00:00,200,80,0.0009602289512293
AggReturn,2019-05-22 00:00:00,100,40,0.0068238411800263
AggReturn,2019-05-22 00:00:00,100,80,-0.2739805144345771
AggReturn,2019-05-22 00:00:00,200,40,0.0274036880396445
AggReturn,2019-05-22 00:00:00,200,80,-0.0044002371348019
AggReturn,2019-05-23 00:00:00,100,40,0.0830991825270639
AggReturn,2019-05-23 00:00:00,100,80,0.1132834753682517
AggReturn,2019-05-23 00:00:00,200,40,0.0380256185936879
AggReturn,2019-05-23 00:00:00,200,80,-0.0121950876663441
AggReturn,2019-05-24 00:00:00,100,40,0.04511009371598
AggReturn,2019-05-24 00:00:00,100,80,0.0439071086042069
AggReturn,2019-05-24 00:00:00,200,40,0.0197618352239599
AggReturn,2019-05-24 00:00:00,200,80,0.0378309806903657
AggReturn,2019-05-28 00:00:00,100,40,-0.0169495968166482
AggReturn,2019-05-28 00:00:00,100,80,-0.0330330332897728
AggReturn,2019-05-28 00:00:00,200,40,-0.0020293124622575
AggReturn,2019-05-28 00:00:00,200,80,0.0066229548106993
AggReturn,2019-05-29 00:00:00,100,40,0.0456578223358902
